letter  frequency
Sydney	15.71299267670534
Richmond & Hawkesbury	1.4285714285714286
Brisbane	12.894810397838441
Gosford & Central Coast	4.988830975428146
Adelaide	8.221854802344806
Melbourne	12.612979224673376
Perth	8.614941657826943
Mackay & Coalfields	0.940623162845385
Sunshine Coast	1.5444015444015444
Gold Coast	3.0379041248606464
West Gippsland & Latrobe Valley	2.083333333333333
Hervey Bay & Fraser Coast	0.7017543859649122
South West Coast VIC	4.860335195530726
Mornington Peninsula & Bass Coast	0.9472259810554804
Port Hedland, Karratha & Pilbara	0.23995200959808036
Ballarat & Central Highlands	2.155887230514096
Bendigo, Goldfields & Macedon Ranges	2.4752475247524752
Yarra Valley & High Country	0.6012024048096193
Coffs Harbour & North Coast	1.3636363636363635
Newcastle, Maitland & Hunter	2.2991409802930773
Tumut, Snowy & Monaro	2.3255813953488373
Darwin	4.581358609794629
Toowoomba & Darling Downs	1.450381679389313
ACT	32.912
Wollongong, Illawarra & South Coast	2.3536511768255886
Port Macquarie & Mid North Coast	10.021321961620469
Southern Highlands & Tablelands	0.6451612903225806
Albury Area	3.3653846153846154
Kalgoorlie, Goldfields & Esperance	0.8045977011494253
Far West & North Central NSW	1.015228426395939
Cairns & Far North	1.1928429423459244
Wagga Wagga & Riverina	1.4962593516209477
Lismore & Far North Coast	1.2239902080783354
Alice Springs & Central Australia	1.3289036544850499
Dubbo & Central NSW	1.0903426791277258
Devonport & North West	0.78125
Launceston & North East	1.2886597938144329
Northern QLD	0.9377093101138647
Bunbury & South West	1.1023622047244095
Hobart	2.949571836346337
Geraldton, Gascoyne & Midwest	0.2932551319648094
Adelaide Hills & Barossa	0.5181347150259068
Horsham & Grampians	0.4784688995215311
Rockhampton & Capricorn Coast	0.6868131868131868
Shepparton & Goulburn Valley	0.6655574043261231
Bairnsdale & Gippsland	2.6455026455026456
Blue Mountains & Central West	2.7600849256900215
Mildura & Murray	1.9543973941368076
Gladstone & Central QLD	1.4044943820224718
Western QLD	0.9727626459143969
Albany & Great Southern	0.6666666666666667
Broome & Kimberley	0.35335689045936397
Bundaberg & Wide Bay Burnett	0.7334963325183375
Mandurah & Peel	0.4
Tamworth & North West NSW	1.8032786885245904
